country,continent_id,subcontinent,area_km2
Afghanistan,4,Ásia Meridional,652230
Albania,5,Europa Meridional,28748
Algeria,1,África Setentrional,2381741
Andorra,5,Europa Meridional,468
Angola,1,África Central,1246700
Argentina,2,América do Sul,2780400
Australia,6,Austrália e Nova Zelândia,7692024
Brazil,2,América do Sul,8515767
Canada,2,América do Norte,9984670
China,4,Ásia Oriental,9596961
